School name,Adress school,ZC school,Bicimad station,Bicimad adress,Distance
Colegio Público Lepanto,CALLE VALDERREY 9,28035,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1953.2797897804185
Colegio Público Lope de Vega,CALLE INGLATERRA 8,28019,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,845.2945381922733
Colegio Público Lorenzo Luzuriaga,CALLE VALENCIA DE DON JUAN 13,28034,217 - Pedro Rico,Calle Pedro Rico nº 4,1591.7634377233837
Colegio Público Los Almendros,CALLE LADERA DE LOS ALMENDROS 45,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,1082.7144193096083
Colegio Público Los Rosales,AVENIDA LOS ROSALES 131,28021,235 - Embajadores 191,Calle Sodio nº 1B,4402.562118723378
Colegio Público Loyola de Palacio,CALLE EMBALSE DE NAVACERRADA 60,28051,221 - Pavones,Calle Hacienda de Pavones nº 342,5983.498610685187
Colegio Público Luis Bello,CALLE LUIS CABRERA 66,28002,196 - Prosperidad,Calle Suero de Quiñones nº 2,184.92935957267596
Colegio Público Luis Cernuda,CALLE CARRIL DEL CONDE 64,28043,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2039.057064690684
Colegio Público Luis de Góngora,CALLE SARRIA 49,28029,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,2113.170504389204
Colegio Público Madrid Sur,CALLE PUERTO DE BALBARAN 133,28018,227 - Concordia,Calle Arroyo del Olivar nº 6,2254.622215669175
Colegio Público Maestro Padilla,AVENIDA PESETA 112,28054,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5244.2046577208075
Colegio Público Manuel Bartolomé Cossío,CALLE JOSE DE CADALSO 19,28044,224 - Caramuel,Calle Caramuel nº 51,5725.863329474486
Colegio Público Manuel Núñez de Arenas,CALLE MARTOS 120,28053,227 - Concordia,Calle Arroyo del Olivar nº 6,2120.206685099161
Colegio Público Manuel Sáinz de Vicuña,CALLE CAMINO DE LOS VINATEROS 104,28030,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,388.85657744647926
Colegio Público Manuel de Falla,CALLE JOSE ORTU&amp;Ntilde;O PONCE 2,28021,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4789.957305010468
Colegio Público Marcelo Usera,CALLE PERALES DE TAJUÑA 1,28026,213 - Glorieta de Cádiz,Calle Antonio López nº 129,209.27037082279364
Colegio Público Margaret Thatcher,GLORIETA PLAYA DE SAN LORENZO 4,28042,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,7173.433061171677
Colegio Público Mariano José de Larra,CALLE LONGARES 11,28022,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3573.026414809154
Colegio Público Marqués de Marcenado,CALLE LINNEO 31,28005,236 - Paseo Imperial,Paseo Imperial nº 20,473.37462691522677
Colegio Público Marqués de Suanzes,AVENIDA VEINTICINCO DE SEPTIEMBRE 1,28027,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2362.5209106372654
Colegio Público Martínez Montañés,CALLE HACIENDA DE PAVONES 223,28030,221 - Pavones,Calle Hacienda de Pavones nº 342,187.87579514545212
Colegio Público María Moliner,CALLE ARCOS DE JALON 34,28037,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2580.1499182961056
Colegio Público María de Villota,CALLE ENRIQUE GARCIA ALVAREZ 11,28031,221 - Pavones,Calle Hacienda de Pavones nº 342,2953.753781684284
Colegio Público Menéndez Pelayo,CALLE MENDEZ ALVARO 16,28045,80b - Atocha B,Paseo de la Infanta Isabel nº 3,256.1708782419444
Colegio Público Menéndez Pidal,CALLE ENCOMIENDA DE PALACIOS 85,28030,221 - Pavones,Calle Hacienda de Pavones nº 342,733.042717804194
Colegio Público Meseta de Orcasitas,CALLE CAMINO VIEJO DE VILLAVERDE 1,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2217.4907824434504
Colegio Público Mesonero Romanos,CALLE PONT DE MOLINS 31,28038,221 - Pavones,Calle Hacienda de Pavones nº 342,1321.564131642559
