School name,Adress school,ZC school,Bicimad station,Bicimad adress,Distance
Escuela infantil municipal Hiedra,CALLE AMPOSTA 34,28037,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2541.9705080808585
Escuela infantil municipal La Alegría de la Huerta,CALLE HELSINKI 2,28022,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,4318.582736706271
Escuela infantil municipal La Ardilla,CALLE PRINCIPE CARLOS (C/V PINTOR IGNACIO ZULOAGA) 1,28050,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3807.835570932759
Escuela infantil municipal La Bola de Cristal,CALLE ISLAS BISAGOS 13,28039,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1489.585006906807
Escuela infantil municipal La Brisa,AVENIDA ASTURIAS 72,28029,207 - Remonta,Calle Azucenas nº 1,1153.1865666658946
Escuela infantil municipal La Bruja Avería - Lolo Rico,CALLE RODAS 20,28005,44 - Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,317.85559575178206
Escuela infantil municipal La Caracola,CALLE BELORADO 1,28034,217 - Pedro Rico,Calle Pedro Rico nº 4,877.5757588853289
Escuela infantil municipal La Chulapona,CALLE BAHIA DE PALMA 13,28042,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6584.274983082494
Escuela infantil municipal La Colina,CALLE NUESTRA SEÑORA DE ARACELI 2,28042,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,8357.094603403759
Escuela infantil municipal La Cornisa,CALLE CRISTO DE LA VICTORIA 23,28026,213 - Glorieta de Cádiz,Calle Antonio López nº 129,883.6304952229563
Escuela infantil municipal La Corte de Faraón,CALLE CHANTADA 41,28035,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1988.7062495676332
Escuela infantil municipal La Gran Vía,CALLE SILVANO 99,28043,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2672.7960539230294
Escuela infantil municipal La Luna,CALLE BENIMAMET 109,28021,235 - Embajadores 191,Calle Sodio nº 1B,5032.065080471244
Escuela infantil municipal La Melonera,CALLE EROS 2,28045,180 - Méndez Álvaro,Calle Retama nº 5,520.7819103750049
Escuela infantil municipal La Oliva,CALLE GAINZA 46,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,3089.1981011123535
Escuela infantil municipal La Paloma,CALLE TABERNILLAS 2,28005,38 - Plaza de los Carros,Carrera de San Francisco nº 1,37.05888360288155
Escuela infantil municipal La Patria Chica,CALLE PATRIMONIO DE LA HUMANIDAD 31,28054,224 - Caramuel,Calle Caramuel nº 51,6529.866935204619
Escuela infantil municipal La Revoltosa,CALLE JOSE ANTONIO REBOLLEDO Y PALMA 18,28051,221 - Pavones,Calle Hacienda de Pavones nº 342,6362.8158631619435
Escuela infantil municipal La Rosa del Azafrán,CALLE CUEVA DE MONTESINOS 2,28034,217 - Pedro Rico,Calle Pedro Rico nº 4,2161.6028446470673
Escuela infantil municipal La Verbena de la Paloma,CALLE FUERTE DE NAVIDAD 17,28044,224 - Caramuel,Calle Caramuel nº 51,5263.940804618518
Escuela infantil municipal La del Manojo de Rosas,CALLE RAVENA 12,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,2855.1922328255523
Escuela infantil municipal La del Soto del Parral,CALLE TROMPAS 19,28054,224 - Caramuel,Calle Caramuel nº 51,6055.379786643879
Escuela infantil municipal Las Amapolas,CALLE OBOLO 14,28054,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4126.031650016111
Escuela infantil municipal Las Azaleas,CALLE PORTUGALETE 6,28017,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,733.5743322990647
Escuela infantil municipal Las Leandras,CALLE DEYANIRA 2,28022,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5471.053946706501
Escuela infantil municipal Las Mercedes,CALLE SAMANIEGO 22,28022,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6906.686663495915
Escuela infantil municipal Las Nubes,CALLE ANTONIO NEBRIJA 7,28007,119 - Méndez Álvaro,Calle Méndez Álvaro nº 11,346.89181869482763
Escuela infantil municipal Las Pléyades,AVENIDA SECUNDINO ZUAZO 34,28055,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,6571.4671124653605
Escuela infantil municipal Las Viñas,CALLE ESTUDIO 6,28023,261 - Facultad Derecho,Avenida Complutense nº 23,6372.656651467286
Escuela infantil municipal Los Gavilanes,CALLE TIZIANO 7,28020,205 - Estrecho,Calle Navarra nº 1,283.714189685921
Escuela infantil municipal Los Juncos,PLAZA JUVENTUD 7,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,3358.4284288308595
Escuela infantil municipal Los Pinos,CALLE ROCAFORT 2,28021,235 - Embajadores 191,Calle Sodio nº 1B,5345.620250454459
Escuela infantil municipal Los sobrinos del Capitan Grant,AVENIDA LA GAVIA 22,28051,221 - Pavones,Calle Hacienda de Pavones nº 342,3929.751335593288
Escuela infantil municipal Luis Bello,CALLE JUAN BAUTISTA DE TOLEDO 5,28002,196 - Prosperidad,Calle Suero de Quiñones nº 2,142.08497620195618
Escuela infantil municipal Luisa Fernanda,CALLE COCHERON DE LA VILLA 29,28031,221 - Pavones,Calle Hacienda de Pavones nº 342,2103.61145281713
Escuela infantil municipal Margarita Salas,CALLE CAVANILLES 58,28007,84 - Valderribas,Calle Doctor Esquerdo nº 191,130.46506087161987
Escuela infantil municipal Molinos de Viento,CAMINO FUENTE DE ARRIBA 4,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,2769.8936669055674
Escuela infantil municipal Osa Menor,CALLE MEJIA LEQUERICA 21,28004,54 - Barceló,Calle Barceló nº 7,182.7202013890478
Escuela infantil municipal Parque de Ingenieros,CALLE LA TABERNERA DEL PUERTO 26,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,3798.9930431126977
Escuela infantil municipal Pensamiento,CALLE MIRASIERRA 27,28026,222 - Antonio López,Calle Eugenio Caxes frente al nº 12,379.0166882558299
Escuela infantil municipal Poeta Gloria Fuertes,CALLE EUNATE 6,28050,217 - Pedro Rico,Calle Pedro Rico nº 4,2862.7442735223945
Escuela infantil municipal Ruiz Jiménez,CALLE JOSE PICON 17,28028,191 - Diego de león,Calle Alonso Heredia nº 1,188.19400639522064
Escuela infantil municipal Sabina,CALLE CAÑÓN DEL RIO LOBOS 4,28030,221 - Pavones,Calle Hacienda de Pavones nº 342,578.0506757653006
Escuela infantil municipal San Blas,CALLE JOSEFA VALCARCEL 152,28022,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3933.2007898465768
Escuela infantil municipal Tarabilla,CALLE GANDHI 14,28017,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,949.0645010611307
Escuela infantil municipal VeoVeo,CALLE CONDESA DE VENADITO 3,28027,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2,255.29561463965152
Escuela infantil municipal Villa de Vallecas,CALLE EMBALSE DE NAVACERRADA 62,28049,217 - Pedro Rico,Calle Pedro Rico nº 4,4311.713378788642
